Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA,P>2.5,P<2.5
E0,05/08/2022,Crystal Palace,Arsenal,0,2,A,4.5,3.65,1.89,2.14,1.78
E0,06/08/2022,Fulham,Liverpool,2,2,D,11.2,6.22,1.28,1.5,2.7
E0,06/08/2022,Bournemouth,Aston Villa,2,0,H,3.93,3.58,2.04,2.1,1.81
E0,06/08/2022,Leeds,Wolves,2,1,H,2.39,3.33,3.3,2.09,1.83
E0,06/08/2022,Newcastle,Nott'm Forest,2,0,H,1.71,3.74,5.83,2.1,1.81
E0,06/08/2022,Tottenham,Southampton,4,1,H,1.37,5.39,9.11,1.65,2.37
E0,06/08/2022,Everton,Chelsea,0,1,A,6.04,4.06,1.63,2.05,1.86
E0,07/08/2022,Leicester,Brentford,2,2,D,2.07,3.69,3.74,1.79,2.12
E0,07/08/2022,Man United,Brighton,1,2,A,1.65,4.14,5.68,1.9,2.0
E0,07/08/2022,West Ham,Man City,0,2,A,8.58,5.48,1.38,1.56,2.59
E0,13/08/2022,Aston Villa,Everton,2,1,H,1.83,3.55,5.12,2.15,1.78
E0,13/08/2022,Arsenal,Leicester,4,2,H,1.58,4.34,6.22,1.71,2.25
E0,13/08/2022,Brighton,Newcastle,0,0,D,2.48,3.24,3.22,2.19,1.75
E0,13/08/2022,Man City,Bournemouth,4,0,H,1.07,13.82,41.0,1.33,3.45
E0,13/08/2022,Southampton,Leeds,2,2,D,2.34,3.55,3.18,1.75,2.19
E0,13/08/2022,Wolves,Fulham,0,0,D,2.44,3.24,3.29,2.18,1.75
E0,13/08/2022,Brentford,Man United,4,0,H,3.82,3.64,2.06,1.83,2.08
E0,14/08/2022,Nott'm Forest,West Ham,1,0,H,4.28,3.72,1.92,1.9,2.01
E0,14/08/2022,Chelsea,Tottenham,2,2,D,2.28,3.52,3.35,1.98,1.92
E0,15/08/2022,Liverpool,Crystal Palace,1,1,D,1.2,7.09,18.57,1.57,2.52
E0,20/08/2022,Tottenham,Wolves,1,0,H,1.43,4.94,7.95,1.74,2.21
E0,20/08/2022,Crystal Palace,Aston Villa,3,1,H,2.58,3.19,3.12,2.27,1.7
E0,20/08/2022,Everton,Nott'm Forest,1,1,D,2.0,3.45,4.27,2.1,1.81
E0,20/08/2022,Fulham,Brentford,3,2,H,2.52,3.53,2.93,1.93,1.97
E0,20/08/2022,Leicester,Southampton,1,2,A,1.86,4.09,4.12,1.64,2.39
E0,20/08/2022,Bournemouth,Arsenal,0,3,A,7.55,4.8,1.46,1.81,2.1
E0,21/08/2022,Leeds,Chelsea,3,0,H,6.23,4.6,1.54,1.68,2.31
E0,21/08/2022,West Ham,Brighton,0,2,A,2.34,3.52,3.22,1.98,1.93
E0,21/08/2022,Newcastle,Man City,3,3,D,9.43,5.22,1.37,1.68,2.3
E0,22/08/2022,Man United,Liverpool,2,1,H,5.39,4.35,1.64,1.52,2.65
E0,27/08/2022,Southampton,Man United,0,1,A,4.31,4.0,1.85,1.66,2.34
E0,27/08/2022,Brentford,Everton,1,1,D,2.1,3.49,3.84,2.1,1.81
E0,27/08/2022,Brighton,Leeds,1,0,H,1.93,3.72,4.24,1.9,2.01
E0,27/08/2022,Chelsea,Leicester,2,1,H,1.45,4.86,7.66,1.71,2.25
E0,27/08/2022,Liverpool,Bournemouth,9,0,H,1.13,10.48,23.11,1.36,3.31
E0,27/08/2022,Man City,Crystal Palace,4,2,H,1.2,7.5,16.26,1.5,2.69
E0,27/08/2022,Arsenal,Fulham,2,1,H,1.33,5.83,9.75,1.52,2.66
E0,28/08/2022,Aston Villa,West Ham,0,1,A,2.41,3.41,3.18,1.93,1.98
E0,28/08/2022,Wolves,Newcastle,1,1,D,2.76,3.32,2.79,2.15,1.78
E0,28/08/2022,Nott'm Forest,Tottenham,0,2,A,7.15,4.63,1.49,1.79,2.13
E0,30/08/2022,Crystal Palace,Brentford,1,1,D,2.11,3.47,3.83,2.12,1.79
E0,30/08/2022,Fulham,Brighton,2,1,H,3.26,3.44,2.36,2.04,1.87
E0,30/08/2022,Southampton,Chelsea,2,1,H,5.28,4.24,1.67,1.78,2.14
E0,30/08/2022,Leeds,Everton,1,1,D,2.16,3.61,3.53,1.87,2.05
E0,31/08/2022,Arsenal,Aston Villa,2,1,H,1.5,4.67,6.97,1.78,2.15
E0,31/08/2022,Bournemouth,Wolves,0,0,D,3.52,3.43,2.24,2.15,1.78
E0,31/08/2022,Man City,Nott'm Forest,6,0,H,1.08,13.43,31.06,1.33,3.16
E0,31/08/2022,West Ham,Tottenham,1,1,D,3.67,3.84,2.04,1.77,2.15
E0,31/08/2022,Liverpool,Newcastle,2,1,H,1.33,5.89,9.75,1.51,2.69
E0,01/09/2022,Leicester,Man United,0,1,A,3.45,3.86,2.11,1.67,2.33
E0,03/09/2022,Everton,Liverpool,0,0,D,8.08,5.21,1.41,1.6,2.47
E0,03/09/2022,Brentford,Leeds,5,2,H,2.21,3.59,3.44,1.76,2.17
E0,03/09/2022,Chelsea,West Ham,2,1,H,1.58,4.37,6.17,1.81,2.1
E0,03/09/2022,Newcastle,Crystal Palace,0,0,D,2.1,3.44,3.89,2.12,1.8
E0,03/09/2022,Nott'm Forest,Bournemouth,2,3,A,2.05,3.51,4.0,2.16,1.76
E0,03/09/2022,Tottenham,Fulham,2,1,H,1.52,4.63,6.51,1.63,2.41
E0,03/09/2022,Wolves,Southampton,1,0,H,2.3,3.41,3.41,2.1,1.81
E0,03/09/2022,Aston Villa,Man City,1,1,D,9.25,5.98,1.33,1.52,2.65
E0,04/09/2022,Brighton,Leicester,5,2,H,1.85,3.63,4.85,2.04,1.87
E0,04/09/2022,Man United,Arsenal,3,1,H,2.7,3.58,2.68,1.73,2.22
E0,16/09/2022,Aston Villa,Southampton,1,0,H,2.14,3.62,3.6,1.88,2.03
E0,16/09/2022,Nott'm Forest,Fulham,2,3,A,2.82,3.43,2.67,1.94,1.96
E0,17/09/2022,Wolves,Man City,0,3,A,9.3,5.52,1.36,1.64,2.39
E0,17/09/2022,Newcastle,Bournemouth,1,1,D,1.49,4.56,7.5,1.83,2.06
E0,17/09/2022,Tottenham,Leicester,6,2,H,1.52,4.46,7.04,1.63,2.4
E0,18/09/2022,Brentford,Arsenal,0,3,A,4.46,3.98,1.83,1.72,2.24
E0,18/09/2022,Everton,West Ham,1,0,H,2.96,3.39,2.57,2.08,1.84
E0,01/10/2022,Arsenal,Tottenham,3,1,H,2.13,3.65,3.57,1.76,2.18
E0,01/10/2022,Bournemouth,Brentford,0,0,D,3.45,3.49,2.25,2.03,1.88
E0,01/10/2022,Crystal Palace,Chelsea,1,2,A,4.42,3.56,1.93,2.12,1.8
E0,01/10/2022,Fulham,Newcastle,1,4,A,3.11,3.57,2.38,1.88,2.03
E0,01/10/2022,Liverpool,Brighton,3,3,D,1.38,5.49,8.42,1.57,2.55
E0,01/10/2022,Southampton,Everton,1,2,A,2.23,3.48,3.49,2.06,1.86
E0,01/10/2022,West Ham,Wolves,2,0,H,2.01,3.42,4.31,2.27,1.7
E0,02/10/2022,Man City,Man United,6,3,H,1.37,5.91,7.74,1.47,2.83
E0,02/10/2022,Leeds,Aston Villa,0,0,D,2.43,3.44,3.12,1.88,2.03
E0,03/10/2022,Leicester,Nott'm Forest,4,0,H,1.78,4.2,4.48,1.68,2.3
E0,08/10/2022,Bournemouth,Leicester,2,1,H,3.64,3.7,2.09,1.88,2.03
E0,08/10/2022,Chelsea,Wolves,3,0,H,1.41,4.92,8.68,1.88,2.03
E0,08/10/2022,Man City,Southampton,4,0,H,1.13,10.77,20.4,,
E0,08/10/2022,Newcastle,Brentford,5,1,H,1.81,3.99,4.55,1.76,2.17
E0,08/10/2022,Brighton,Tottenham,0,1,A,2.82,3.45,2.65,1.86,2.05
E0,09/10/2022,Crystal Palace,Leeds,2,1,H,2.06,3.68,3.76,1.85,2.06
E0,09/10/2022,West Ham,Fulham,3,1,H,1.79,3.9,4.82,1.83,2.08
E0,09/10/2022,Arsenal,Liverpool,3,2,H,2.67,3.69,2.66,1.63,2.41
E0,09/10/2022,Everton,Man United,1,2,A,3.62,3.67,2.11,1.89,2.02
E0,10/10/2022,Nott'm Forest,Aston Villa,1,1,D,3.4,3.6,2.22,2.04,1.87
E0,14/10/2022,Brentford,Brighton,2,0,H,3.32,3.52,2.29,1.95,1.95
E0,15/10/2022,Leicester,Crystal Palace,0,0,D,2.38,3.55,3.12,1.86,2.05
E0,15/10/2022,Fulham,Bournemouth,2,2,D,1.92,3.77,4.23,1.99,1.92
E0,15/10/2022,Wolves,Nott'm Forest,1,0,H,1.74,3.78,5.41,2.09,1.83
E0,15/10/2022,Tottenham,Everton,2,0,H,1.48,4.67,7.26,1.78,2.15
E0,16/10/2022,Aston Villa,Chelsea,0,2,A,4.78,3.65,1.85,2.1,1.81
E0,16/10/2022,Leeds,Arsenal,0,1,A,6.23,4.49,1.56,1.65,2.37
E0,16/10/2022,Man United,Newcastle,0,0,D,2.04,3.71,3.8,1.76,2.17
E0,16/10/2022,Southampton,West Ham,1,1,D,3.08,3.42,2.47,2.04,1.87
E0,16/10/2022,Liverpool,Man City,1,0,H,4.0,4.11,1.88,1.49,2.76
E0,18/10/2022,Brighton,Nott'm Forest,0,0,D,1.39,5.17,8.97,1.76,2.17
E0,18/10/2022,Crystal Palace,Wolves,2,1,H,2.32,3.21,3.58,2.5,1.59
E0,19/10/2022,Bournemouth,Southampton,0,1,A,2.76,3.4,2.74,2.09,1.81
E0,19/10/2022,Brentford,Chelsea,0,0,D,4.85,3.93,1.78,1.88,2.02
